#Sumatra CSVExporter
#Sun Jun 19 00:13:52 CEST 2011
time,setv_x,setv_y,actualv_x,actualv_y,x,y,deltaT
289512945895797,-10.000035,-2.0729926,0.114943326,-0.23989545,3068.2249,590.1691,0.020090671256184578
289512967837501,-10.000034,-1.9729929,0.13825679,-0.29150245,3079.5718,566.6548,0.021912934258580208
289512988689170,-10.000033,-1.9152737,0.14661677,-0.3021373,3086.2893,553.46765,0.02089097537100315
289513009727240,-10.000032,-1.868712,0.15851608,-0.30784127,3090.8938,545.6721,0.020987415686249733
289513030547302,-10.000032,-1.8307662,0.17085956,-0.3082982,3098.4482,533.4178,0.020112959668040276
289513051017662,-10.0000305,-1.7955008,0.19586548,-0.30617094,3111.8496,514.4541,0.02120218239724636
289513071919578,-10.0000305,-1.7597923,0.20708373,-0.306354,3117.2253,507.44162,0.020905157551169395
289513092702361,-9.999999,-1.7292013,0.21487196,-0.3033029,3125.9688,495.80057,0.02079777605831623
289513112887448,-10.00003,-1.6934671,0.2238859,-0.30342886,3131.561,488.88028,0.02018873393535614
289513134116375,-10.00003,-1.6700199,0.23901764,-0.29591706,3146.3438,471.5066,0.021207451820373535
289513155356242,-10.00003,-1.6777849,0.25424805,-0.27534112,3156.555,462.99295,0.021247565746307373
289513175806747,-10.000031,-1.7777843,0.3158269,-0.17332317,3171.0674,468.59177,0.020463472232222557
289513196802268,-10.000032,-1.877785,0.30431354,0.08729882,3176.9292,478.6264,0.02099592611193657
289513219365170,-10.000034,-1.9777849,0.3458823,0.1495545,3199.8677,486.99622,0.02254304848611355
289513239698566,-10.000033,-1.9220831,0.37306145,0.11680001,3217.9985,487.7912,0.020341906696558
289513259865419,-10.000031,-1.8220835,0.37988043,0.06467842,3228.2988,485.37332,0.02017050050199032
289513280008363,-10.000031,-1.8136446,0.38960508,0.05846442,3244.8972,486.2968,0.020027456805109978
289513304489564,-9.90003,-1.7829049,0.29963437,0.042045854,3256.217,486.7394,0.024605195969343185
289513324712336,-10.000032,-1.8583283,0.34547547,0.07617221,3274.4353,491.37253,0.020210616290569305
289513344725206,-10.000033,-1.8953986,0.3532301,0.09079276,3283.4316,494.00818,0.0200246199965477
289513364919613,-10.000033,-1.903008,0.35324535,0.0906933,3292.8071,496.47354,0.020193595439195633
289513385806941,-10.000034,-1.9106917,0.35326132,0.0905891,3302.629,499.05627,0.02089543268084526
289513408663220,-10.000032,-1.9188454,0.35328522,0.09043278,3317.3618,502.9304,0.022834397852420807
289513428703239,-10.000034,-1.9261441,0.35329244,0.09038541,3321.8264,504.10437,0.020052580162882805
289513449139966,-10.000034,-1.933929,0.35330832,0.09028117,3331.6482,506.68713,0.020450100302696228
289513469882227,-10.000034,-1.9412875,0.3533155,0.090233795,3336.1128,507.8611,0.020730508491396904
289513490261008,-10.000033,-1.949121,0.35333136,0.09012956,3345.9346,510.44385,0.020376350730657578
289513511109841,-10.000033,-1.9573674,0.3533543,0.08997793,3360.221,514.20056,0.02083059772849083
289513531739046,-10.000034,-1.9652822,0.35337004,0.089873664,3370.043,516.7833,0.020626774057745934
289513551749890,-10.000034,-1.9728196,0.3533779,0.08982153,3374.9539,518.0747,0.020016111433506012
289513572722314,-10.000034,-1.9807453,0.3533929,0.089722,3384.3293,520.54004,0.02099592797458172
289513593731613,-10.000034,-1.9891434,0.35341638,0.08956558,3399.0623,524.4142,0.02099916711449623
289513615188677,-10.000034,-1.997149,0.35343128,0.08946603,3408.4377,526.8795,0.02146516740322113
289513635732786,-10.000036,-2.0048213,0.3534391,0.08941388,3413.3486,528.1709,0.020521415397524834
289513655723369,-10.000035,-2.0129094,0.35345468,0.08930957,3423.1704,530.7536,0.020005980506539345
289513675868745,-10.000034,-2.0206392,0.35346246,0.08925742,3428.0813,532.045,0.0201510488986969
289513698566179,-10.000035,-2.029162,0.35348573,0.08910094,3442.8142,535.9191,0.022671500220894814
289513718874047,-10.000035,-2.0373428,0.3535012,0.08899662,3452.6362,538.50183,0.020337853580713272
289513739714775,-10.000036,-2.0451741,0.35350892,0.08894445,3457.547,539.7932,0.020834244787693024
289513760724074,-10.000034,-2.0534,0.35352436,0.08884011,3467.369,542.376,0.021002816036343575
289513781010465,-10.000036,-2.0619948,0.35354674,0.08868833,3481.6553,546.1327,0.020292876288294792
289513801709368,-10.000036,-2.0702949,0.3535621,0.08858397,3491.4773,548.71545,0.020689988508820534
289513821741283,-10.000034,-2.0782564,0.35356975,0.088531785,3496.3882,550.0068,0.020044881850481033
289513841925154,-10.000035,-2.0866013,0.35358503,0.08842742,3506.21,552.58954,0.020172931253910065
289513862808836,-10.000036,-2.0946064,0.3535927,0.088375226,3511.1208,553.8809,0.02088003419339657
289513883794227,-10.000036,-2.1033587,0.35361555,0.08821865,3525.8538,557.755,0.020993899554014206
289513903884898,-10.000037,-2.1117892,0.35363075,0.088114254,3535.6755,560.33777,0.020094724372029305
289513924773848,-10.000036,-2.1202483,0.35364592,0.08800985,3545.4976,562.92053,0.020873956382274628
289513945818401,-10.000036,-2.1283793,0.3536535,0.08795764,3550.4084,564.21185,0.020991874858736992
289513966743009,-10.000036,-2.1368806,0.35366863,0.08785323,3560.2302,566.7946,0.02097931131720543
289513987324804,-10.000037,-2.1457567,0.35369125,0.08769659,3574.9631,570.6687,0.020565586164593697
289514007856352,-10.000037,-2.1539845,0.3536988,0.087644376,3579.874,571.9601,0.02055991254746914
289514028751379,-10.000037,-2.1625686,0.3537138,0.08753993,3589.6958,574.54285,0.020895028486847878
289514048862717,-10.000038,-2.1708364,0.35372132,0.08748771,3594.607,575.83417,0.020112551748752594
289514072773371,-10.000037,-2.1801097,0.35375056,0.087283544,3613.8042,580.88226,0.023865675553679466
289514092876199,-10.000038,-2.1884503,0.353758,0.087231316,3618.715,582.17365,0.020145375281572342
289514113082763,-10.000038,-2.1971416,0.3537729,0.08712684,3628.5369,584.7564,0.020206160843372345
289514138498799,-10.000039,-2.2061863,0.3537952,0.08697012,3643.2698,588.6305,0.025394560769200325
289514158909998,-10.000038,-2.2146187,0.35380262,0.08691788,3648.1807,589.9219,0.02043226733803749
289514182737582,-10.000039,-2.2233574,0.35381675,0.08681814,3657.556,592.3872,0.02381056547164917
289514207027925,-10.00004,-2.2324698,0.3538389,0.086661376,3672.2888,596.2613,0.02427534945309162
289514227742631,-10.000038,-2.240986,0.35384628,0.08660912,3677.1997,597.5527,0.020754415541887283
289514247846675,-10.000039,-2.249831,0.35386097,0.0865046,3687.0215,600.1354,0.020086620002985
