#Sumatra CSVExporter
#Sat Jun 18 11:42:37 CEST 2011
time,setx,sety,setv,actx,acty,actv
243811870383967,0.0,0.5,0,-0.002817957,7.8805507E-4,1.6710525
243811884035331,0.0,0.5,0,-0.0041896766,0.0014514506,1.6819457
243811889409728,0.0,0.5,0,-0.004193071,0.001441618,1.6820459
243811910337983,0.0,0.5,0,-0.004894404,0.0016704366,1.683838
243811913372655,0.0,0.5,0,-0.0048961733,0.0016652452,1.6839148
243811938355514,0.0,0.5,0,-0.0049116355,0.001619071,1.6845894
243811959499345,0.0,0.5,0,-0.0046379897,0.0013765073,1.6864661
243811984036871,0.0,0.5,0,-0.0018167287,7.621916E-4,1.6885629
243812006456731,0.0,0.5,0,-0.0018238629,7.449585E-4,1.6896166
243812010485401,0.0,0.5,0,0.0026650396,-0.0013892652,1.675821
243812029520887,0.0,0.5,0,0.0026776253,-0.0013648504,1.6746272
243812037997627,0.0,0.5,0,0.003083107,-1.6437843E-5,1.6801541
243812052262895,0.0,0.5,0,0.0030831478,4.457572E-6,1.6799325
243812063491870,0.0,0.5,0,0.005514288,0.0011747302,1.6808369
243812075526417,0.0,0.5,0,0.005507843,0.0012045837,1.680771
243812089456571,0.0,0.5,0,0.006597014,0.0024161148,1.6835392
243812098989712,0.0,0.5,0,0.0065871,0.0024430125,1.68372
243812115515687,0.0,0.5,0,0.005893544,0.001928451,1.6803192
243812122462326,0.0,0.5,0,0.0058877477,0.0019460754,1.6802382
243812142512476,0.0,0.5,0,0.0026812165,-0.0018856996,1.6800816
243812145982351,0.0,0.5,0,0.0026843005,-0.0018813069,1.6800407
243812168721928,0.0,0.5,0,-2.8229508E-5,0.0010685341,1.6729577
243812191628049,0.0,0.5,0,-3.979922E-5,0.0010681659,1.6714306
243812195749108,0.0,0.5,0,-0.0014616635,-0.0041761464,1.676584
243812222016101,0.0,0.5,0,-0.0014257224,-0.004188553,1.6760601
243812222456167,0.0,0.5,0,-6.4589863E-4,-0.0058539356,1.6836923
243812239248370,0.0,0.5,0,-6.055968E-4,-0.005858242,1.6842402
243812248064277,0.0,0.5,0,9.2241156E-4,-0.014359599,1.6845833
243812260925872,0.0,0.5,0,0.0010008829,-0.014354342,1.6850219
243812274474716,0.0,0.5,0,-2.93403E-4,-0.007350221,1.6873373
243812284034197,0.0,0.5,0,-2.6398874E-4,-0.0073513356,1.6878301
243812300745761,0.0,0.5,0,-6.092153E-4,-0.00369565,1.6867528
243812307068366,0.0,0.5,0,-5.989443E-4,-0.0036973285,1.6869867
243812327578843,0.0,0.5,0,-3.088321E-4,5.6821277E-4,1.6817648
243812334051783,0.0,0.5,0,-3.0974552E-4,5.6771527E-4,1.6817125
243812353413063,0.0,0.5,0,-3.1552007E-4,5.645264E-4,1.6813806
243812376577713,0.0,0.5,0,0.003744629,0.002466022,1.6796982
243812381422896,0.0,0.5,0,0.002910525,0.0026910254,1.675804
243812400207552,0.0,0.5,0,0.0028852953,0.002718059,1.67476
243812406970223,0.0,0.5,0,0.0033071728,0.0028826168,1.6807415
243812434516891,0.0,0.5,0,0.004654759,0.0037701896,1.6830543
243812443584033,0.0,0.5,0,0.004638226,0.0037905117,1.6832352
243812460616124,0.0,0.5,0,0.0041416525,0.0036709614,1.6868018
243812467386899,0.0,0.5,0,0.0041311504,0.0036827754,1.6870954
243812486879875,0.0,0.5,0,0.002303285,0.002407668,1.686312
243812490447813,0.0,0.5,0,0.0022997996,0.0024109974,1.686418
243812513608816,0.0,0.5,0,-2.9540417E-5,4.1265576E-4,1.6811676
243812536579366,0.0,0.5,0,-3.389135E-5,4.1232124E-4,1.6808214
243812540194309,0.0,0.5,0,6.270904E-4,-0.0029489454,1.679527
